Position,Team,GP,W,D,L,F,A,GD,P
1,Manchester City,33,25,5,3,80,21,59,80
2,Liverpool,33,24,7,2,85,22,63,79
3,Chelsea,32,19,8,5,67,27,40,65
4,Arsenal,33,19,3,11,52,40,12,60
5,Tottenham Hotspur,33,18,4,11,56,38,18,58
6,Manchester United,34,15,9,10,53,51,2,54
7,West Ham United,34,15,7,12,52,44,8,52
8,Wolverhampton Wanderers,33,15,4,14,33,29,4,49
9,Newcastle United,34,11,10,13,40,55,-15,43
10,Leicester City,32,11,9,12,47,51,-4,42
11,Brighton and Hove Albion,34,9,14,11,31,42,-11,41
12,Brentford,34,11,7,16,41,49,-8,40
13,Southampton,34,9,13,12,40,56,-16,40
14,Crystal Palace,33,8,14,11,43,41,2,38
15,Aston Villa,32,11,4,17,42,46,-4,37
16,Leeds United,33,8,10,15,38,68,-30,34
17,Burnley,33,6,13,14,29,45,-16,31
18,Everton,32,8,5,19,34,55,-21,29
19,Watford,33,6,4,23,31,67,-36,22
20,Norwich City,33,5,6,22,22,69,-47,21
